lat,long,Company,Revenue_2021,Revenue_per_change_2021,Profits_in_millions_2021,Market_value_2021,Employees_2021,Revenue_2022,Revenue_per_change_2022,Profits_in_millions_2022,Market_value_2022,Employees_2022,Sector,City,State,Ceo_woman
38.8950368,-77.0365427,Danaher,22284,0.086,3646,160497.2,69000,29453,32.2,6433,209993.4,79000,Health Care,Washington,DC,no
27.7700475,-82.6359078,Jabil,27266.4,0.078,53.9,7833.2,240000,29285,7.4,696,8857.3,238000,Technology,St. Petersburg,FL,no
47.6038321,-122.330062,Starbucks,23518,-0.113,928.3,128643.6,349000,29060.6,23.6,4199.3,104642.8,383000,"Hotels, Restaurants & Leisure",Seattle,WA,no
41.8755616,-87.6244212,Mondelez International,26581,0.028,3555,82651.1,79000,28720,8,4300,87159.2,79000,"Food, Beverages & Tobacco",Chicago,IL,no
39.7683331,-86.1583502,Eli Lilly,24539.8,0.099,6193.7,179158.9,35000,28318.4,15.4,5581.7,272723.6,35238,Health Care,Indianapolis,IN,no
29.7589382,-95.3676974,Hewlett Packard Enterprise,26982,-0.074,-322,20480,59400,27784,3,3427,21725.3,60400,Technology,Houston,TX,no
32.7355816,-97.1071186,D.R. Horton,20311.1,0.155,2373.7,32413.1,9716,27774.2,36.7,4175.8,26403.2,11788,Engineering & Construction,Arlington,TX,no
33.7690164,-118.191604,Molina Healthcare,19423,0.154,673,13647.3,10500,27771,43,659,19572.9,14000,Health Care,Long Beach,CA,no
32.7762719,-96.7968559,CBRE Group,23826.2,-0.003,752,26549.1,100000,27746,16.5,1836.6,30414.2,105000,Financials,Dallas,TX,no
43.6166163,-116.200886,Micron Technology,21435,-0.084,2687,98678,40000,27705,29.3,5861,86977.2,43000,Technology,Boise,ID,no
37.3361663,-121.890591,Broadcom,23888,0.057,2960,189313.5,21000,27450,14.9,6736,257086.5,20000,Technology,San Jose,CA,no
37.5600336,-122.2688522,Gilead Sciences,24689,0.1,123,81372.8,13600,27305,10.6,6225,74656.5,14400,Health Care,Foster City,CA,no
40.8578772,-74.4259866,PBF Energy,15115.9,-0.383,-1392.4,1699.5,3729,27253.4,80.3,231,2932.6,3418,Energy,Parsippany,NJ,no
25.7741728,-80.19362,Lennar,22488.9,0.01,2465,30893.2,9495,27130.7,20.6,4430.1,23413,10753,Engineering & Construction,Miami,FL,no
41.8239891,-71.4128343,United Natural Foods,26742.8,0.139,-274.1,1854.4,28300,26992,0.9,149,2409.3,28300,Wholesalers,Providence,RI,no
29.7589382,-95.3676974,NRG Energy,9093,-0.079,510,9232.1,4104,26989,196.8,2187,9289,6635,Energy,Houston,TX,no
37.3541132,-121.955174,Nvidia,16675,0.527,4332,331036.6,18975,26914,61.4,9752,684878.6,22473,Technology,Santa Clara,CA,no
29.7589382,-95.3676974,Occidental Petroleum,16680,-0.241,-14831,24848.7,11800,26772,60.5,2322,53160.2,11678,Energy,Houston,TX,yes
37.7790262,-122.419906,Salesforce,21252,0.243,4072,195132.3,56606,26492,24.7,1444,210196.8,73541,Technology,San Francisco,CA,no
36.7183708,-76.2466798,Dollar Tree,25509.3,0.08,1341.9,26717.4,129772,26321.2,3.2,1327.9,36051.4,136226,Retailing,Chesapeake,VA,no
40.7127281,-74.0060152,KKR,9629.7,0.056,2002.5,42352.6,1583,26141.3,171.5,4666.5,51542.9,3238,Financials,New York,NY,no
41.8755616,-87.6244212,Kraft Heinz,26185,0.048,356,48924.7,38000,26042,-0.5,1012,48248.6,36000,"Food, Beverages & Tobacco",Chicago,IL,no
34.1705609,-118.8375937,Amgen,25424,0.088,7264,143704.3,24300,25979,2.2,5893,134700.8,24200,Health Care,Thousand Oaks,CA,no
26.1223084,-80.1433786,AutoNation,20390,-0.044,381.6,7683.2,21600,25844,26.7,1373,6111.4,22200,Retailing,Fort Lauderdale,FL,no
42.583645,-83.2454883,Penske Automotive Group,20443.9,-0.118,543.6,6485.5,23600,25554.7,25,1187.8,7196.7,24797,Retailing,Bloomfield Hills,MI,no
40.7127281,-74.0060152,Macy's,18097,-0.286,-3944,5028.1,75711,25292,39.8,1430,7123.2,88857,Retailing,New York,NY,no
35.2272086,-80.8430827,Duke Energy,23453,-0.049,1377,74252.5,27535,24677,5.2,3908,85967,27605,Energy,Charlotte,NC,yes
41.8755616,-87.6244212,United Airlines Holdings,15355,-0.645,-7069,18325.1,74400,24634,60.4,-1964,15049.7,84100,Transportation,Chicago,IL,no
37.7790262,-122.419906,Visa,21846,-0.049,10866,452525.4,20500,24105,10.3,12311,480022.5,21500,Business Services,San Francisco,CA,no
40.2398118,-76.9199742,Rite Aid,21928.4,0.012,-452.2,1129.9,39920,24043.4,9.6,-90.9,488.1,50000,Food & Drug Stores,Camp Hill,PA,yes
39.2014405,-85.9213796,Cummins,19811,-0.16,1789,37971.1,57825,24021,21.3,2131,29140.9,59900,Industrials,Columbus,IN,yes
44.9772995,-93.2654692,U.S. Bancorp,25241,-0.076,4959,83107.4,68108,23714,-6,7963,78929.8,68796,Financials,Minneapolis,MN,no
47.6144219,-122.192337,Paccar,18728.5,-0.268,1298.4,32255.8,26000,23522.3,25.6,1852.1,30619.7,28500,Motor Vehicles & Parts,Bellevue,WA,no
41.8755616,-87.6244212,McDonald's,19207.8,-0.089,4730.5,167112.5,200000,23222.9,20.9,7545.2,183873.6,200000,"Hotels, Restaurants & Leisure",Chicago,IL,no
33.7489924,-84.3902644,Southern,20375,-0.049,3119,65678.9,27700,23113,13.4,2393,76877,27164,Energy,Atlanta,GA,no
44.8546856,-93.470786,C.H. Robinson Worldwide,16207.1,0.059,506.4,12514.9,14888,23102.1,42.5,844.2,13855.8,16877,Transportation,Eden Prairie,MN,no
35.2272086,-80.8430827,Truist Financial,24427,0.666,4482,78408.5,53638,23064,-5.6,6440,75353.9,51462,Financials,Charlotte,NC,no
37.3541132,-121.955174,Applied Materials,17202,0.178,3619,122599.5,24000,23063,34.1,5888,116431.4,27000,Technology,Santa Clara,CA,no
33.4484367,-112.074141,Freeport-McMoRan,14198,-0.014,599,48027.8,24500,22845,60.9,4306,72360.8,24700,Energy,Phoenix,AZ,no
42.3264181,-122.8718605,Lithia Motors,13124.3,0.036,470.3,10467,14538,22831.7,74,1060,8909.8,21150,Retailing,Medford,OR,no
41.764582,-72.6908547,Hartford Financial Services Group,20523,-0.01,1737,23863.3,18500,22390,9.1,2365,23815.6,18100,Financials,Hartford,CT,no
32.4610708,-84.9880449,Aflac,22147,-0.007,4778,35191.4,12003,22106,-0.2,4325,41812.8,12447,Financials,Columbus,GA,no
42.1167065,-86.4541894,Whirlpool,19456,-0.047,1081,13831.7,78000,21985,13,1783,10101.2,69000,Industrials,Benton Harbor,MI,no
41.2587459,-95.9383758,Union Pacific,19533,-0.1,5349,146948.3,30960,21804,11.6,6523,171681.6,32124,Transportation,Omaha,NE,no
35.1460249,-90.0517638,International Paper,20580,-0.08,482,21240.6,49300,21780,5.8,1752,17301.1,38200,Materials,Memphis,TN,no
37.5385087,-77.43428,Altria Group,20841,0.053,4467,95090.6,7100,21111,1.3,2475,94951.7,6000,"Food, Beverages & Tobacco",Richmond,VA,no
42.1900249,-87.9084039,CDW,18467.5,0.024,788.5,23291.8,10000,20820.8,12.7,988.6,24140.2,13900,Technology,Lincolnshire,IL,yes
43.0349931,-87.922497,ManpowerGroup,18001,-0.137,23.8,5434.2,25000,20724.4,15.1,382.4,5025.6,30000,Business Services,Milwaukee,WI,no
37.7790262,-122.419906,PG&E,18469,0.078,-1318,23240.6,24000,20642,11.8,-102,29433.7,26000,Energy,San Francisco,CA,yes
29.7589382,-95.3676974,Baker Hughes,20705,-0.131,-9940,22494.8,55000,20502,-1,-219,37410.2,54000,Energy,Houston,TX,no
41.4996574,-81.6936772,Cleveland-Cliffs,5354,1.691,-122,10033,25000,20444,281.8,2988,16891.2,26000,Materials,Cleveland,OH,no
40.4416941,-79.9900861,United States Steel,9741,-0.247,-1165,7034,23350,20275,108.1,4174,9832.3,24540,Materials,Pittsburgh,PA,no
41.0167639,-74.2057012,Becton Dickinson,17117,-0.01,874,70649.7,72000,20248,18.3,2092,75749.1,75000,Health Care,Franklin Lakes,NJ,no
37.5385087,-77.43428,CarMax,21424.1,0.119,888.4,21562.7,27050,20092.1,-6.2,746.9,15598.9,26889,Retailing,Richmond,VA,no
41.4996574,-81.6936772,Sherwin-Williams,18361.7,0.026,2030.4,65837.3,61031,19944.6,8.6,1864.4,65037.9,61626,Chemicals,Cleveland,OH,no
32.7762719,-96.7968559,Builders FirstSource,8558.9,0.176,313.5,9572.2,26000,19893.9,132.4,1725.4,11408.9,28000,Materials,Dallas,TX,no
40.7127281,-74.0060152,Marsh & McLennan,17224,0.034,2016,62054.9,76000,19820,15.1,3143,85681.3,83000,Financials,New York,NY,no
40.4416941,-79.9900861,PNC Financial Services Group,24039,0.112,7517,74377.4,50403,19698,-18.1,5674,77203.4,58547,Financials,Pittsburgh,PA,no
32.5102427,-92.1032411,Lumen Technologies,20712,-0.075,-1232,14642.9,39000,19687,-4.9,2033,11533.4,36000,Telecommunications,Monroe,LA,no
33.4484367,-112.074141,Avnet,17634.3,-0.097,-31.1,4128.4,14600,19534.7,10.8,193.1,4016.9,14500,Wholesalers,Phoenix,AZ,no
32.7762719,-96.7968559,Tenet Healthcare,17640,-0.045,399,5536.5,97900,19485,10.5,914,9387.6,88968,Health Care,Dallas,TX,no
32.8295183,-96.9442177,Kimberly-Clark,19140,0.037,2352,46999.8,46000,19440,1.6,1814,41496.1,45000,Household Products,Irving,TX,no
43.1790768,-88.1170784,Kohl's,15955,-0.201,-163,9394.1,73000,19433,21.8,938,7774.6,67000,Retailing,Menomonee Falls,WI,yes
40.7127281,-74.0060152,BlackRock,16205,0.115,4932,115079.8,16500,19374,19.6,5901,116186.2,18400,Financials,New York,NY,no
41.8755616,-87.6244212,Jones Lang LaSalle,16589.9,-0.077,402.5,9150.9,90800,19367,16.7,961.6,11945.5,98200,Financials,Chicago,IL,no
42.4733689,-83.2218731,Lear,17045.5,-0.14,158.5,10895.8,174600,19263.1,13,373.9,8513.1,160100,Motor Vehicles & Parts,Southfield,MI,no
40.0463001,-75.3595487,Lincoln National,17439,0.01,499,11953.2,10966,19230,10.3,1405,11271.6,10848,Financials,Radnor,PA,yes
32.991226,-97.1943701,Charles Schwab,12109,0.027,3299,122691.2,32000,18996,56.9,5855,159675.9,33400,Financials,Westlake,TX,no
37.7021521,-121.9357918,Ross Stores,12531.6,-0.219,85.4,42750.7,93700,18916.2,50.9,1722.6,31741.7,100000,Retailing,Dublin,CA,yes
41.0409305,-73.7145746,Mastercard,15301,-0.094,6411,353686.7,21000,18884,23.4,8687,349330.5,24000,Business Services,Purchase,NY,no
33.7489924,-84.3902644,Genuine Parts,17384.4,-0.104,-29.1,16691.8,50000,18870.5,8.5,898.8,17888.1,52000,Wholesalers,Atlanta,GA,no
33.7489924,-84.3902644,WestRock,17578.8,-0.039,-690.9,13716.1,49300,18746.1,6.6,838.3,12379,49900,Materials,Atlanta,GA,no
29.7589382,-95.3676974,EOG Resources,11032,-0.365,-604.6,42331.9,2900,18642,69,4664,69796,2800,Energy,Houston,TX,no
40.8860164,-74.0072568,Cognizant Technology Solutions,16652,-0.008,1392,41451.6,289500,18507,11.1,2137,47035,330600,Technology,Teaneck,NJ,no
41.0799898,-85.1386015,Steel Dynamics,9601.5,-0.083,550.8,10721.5,9625,18408.9,91.7,3214.1,15811.5,10640,Materials,Fort Wayne,IN,no
32.7762719,-96.7968559,Texas Instruments,14461,0.005,5595,174439.3,30000,18344,26.9,7769,169329.6,31000,Technology,Dallas,TX,no
38.6280278,-90.1910154,Emerson Electric,16785,-0.086,1965,54134.7,83500,18236,8.6,2303,58241.7,86700,Industrials,St. Louis,MO,no
40.4416941,-79.9900861,WESCO International,12326,0.475,100.6,4340.5,18000,18217.5,47.8,465.4,6598.5,18000,Wholesalers,Pittsburgh,PA,no
44.9772995,-93.2654692,General Mills,17626.6,0.045,2181.2,37403.4,35000,18127,2.8,2339.8,40781.8,35000,"Food, Beverages & Tobacco",Minneapolis,MN,no
42.2586461,-87.8407055,Tenneco,15379,-0.119,-1521,875.7,73000,18035,17.3,35,1523,71000,Motor Vehicles & Parts,Lake Forest,IL,no
29.7589382,-95.3676974,Waste Management,15218,-0.015,1496,54451.7,48250,17931,17.8,1816,65802.8,48500,Business Services,Houston,TX,no
39.6482059,-104.9879641,DISH Network,15493.4,0.21,1762.7,19048.2,13500,17881.1,15.4,2410.6,16743.1,14500,Telecommunications,Englewood,CO,no
28.106471,-80.6371513,L3Harris Technologies,18194,0.415,1119,41664.1,48000,17814,-2.1,1846,47969.6,47000,Aerospace & Defense,Melbourne,FL,no
38.918592,-77.2314723,DXC Technology,19577,-0.076,-5369,7958.6,138000,17729,-9.4,-149,7977.3,134000,Technology,Tysons,VA,no
37.7790262,-122.419906,Block,9497.6,1.015,213.1,103220.3,5477,17661.2,86,166.3,78655.9,8521,Business Services,San Francisco,CA,no
